node	label
CP002278.26992.28471	Methanothermus fervidus
L77117.638452.639929	Methanocaldococcus jannaschii
CP002737.1395857.1397326	Methanotorris igneus
KC139247.1.1400	Methanococcus maripaludis
CP002792.716965.718433	Methanothermococcus okinawensis
AM114193.2083318.2084792	Methanocella arvoryzae
CP000559.1015589.1017053	Methanocorpusculum labreanum
HE964772.565064.566525	Methanoculleus bourgensis
AGCO01000001.611619.613073	Methanofollis liminatans
CP002117.2355586.2357053	Methanolacinia petrolearia
M59142.1.1469	Methanomicrobium mobile
AB162774.1.1433	Methanolinea tarda
CP000780.2250513.2251978	Methanoregula boonei
CP001338.1211335.1212796	Methanosphaerula palustris
CP000254.3501525.3502990	Methanospirillum hungatei
JF789589.1.1440	uncultured Methanomicrobiales archaeon
JMIY01000002.512616.513910	Candidatus Methanoperedens nitroreducens
CP000300.1876623.1878098	Methanococcoides burtonii
CP002069.48670.50146	Methanohalobium evestigatum
CP001994.1905694.1907168	Methanohalophilus mahii
CP003083.1452985.1454458	Methanolobus psychrophilus
CP003362.2364537.2365901	Methanomethylovorans hollandica
CP002101.1236823.1238300	Methanosalsum zhilinae
CP000477.1617193.1618665	Methanothrix thermoacetophila
AE009439.516778.518289	Methanopyrus kandleri
CP006019.1527358.1528841	Palaeococcus pacificus
AE009950.136930.138426	Pyrococcus furiosus
AP006878.2022864.2024361	Thermococcus kodakarensis
AM229259.1.1344	uncultured euryarchaeote
AJ318041.1.1500	Nanoarchaeum equitans
AWOG01000036.535.1990	Nanoarchaeota archaeon JGI OTU-1
ASMP01000002.125551.126982	Nanoarchaeota archaeon SCGC AAA011-D5
CP007536.892626.894095	Nitrososphaera viennensis
AF083072.21771.23243	Cenarchaeum symbiosum
CP003842.945953.947418	Candidatus Nitrosopumilus koreensis
AVSQ01000019.27413.28870	Candidatus Nitrosotenuis chungbukensis
AWOC01000023.11513.12991	Thaumarchaeota archaeon JGI OTU-3
ASPK01000003.14512.15983	Thaumarchaeota archaeon SCGC AB-179-E04
CP010424.162769.164251	archaeon GW2011_AR10
CP010425.1043335.1044799	archaeon GW2011_AR15
JWKV01000003.14465.15932	archaeon GW2011_AR16
CP010426.667721.669193	archaeon GW2011_AR20
AB193974.1.1440	uncultured archaeon
AB802715.1.1398	uncultured archaeon
AF325186.1.1402	uncultured archaeon
AY835420.1.1448	uncultured archaeon
FJ264731.1.945	uncultured archaeon
JX000728.1.1071	uncultured archaeon
KJ882222.1.1438	uncultured archaeon
KP308705.3478.4946	uncultured archaeon
KP308716.3069.4526	uncultured archaeon
KP308719.65128.66503	uncultured archaeon
KP308748.17248.18707	uncultured archaeon
KP308750.18552.19877	uncultured archaeon
KX213929.1.1358	uncultured archaeon
AYLJ01000015.6614.8072	uncultured archaeon A07HB70
AYLK01000292.9273.10729	uncultured archaeon A07HN63
AYLL01000252.31846.33305	uncultured archaeon A07HR60
AYLI01000329.16498.17954	uncultured archaeon A07HR67
AB050206.1.1687	uncultured archaeon SAGMA-B
GU234254.1.1322	uncultured marine archaeon
JQ226617.1.1322	uncultured marine archaeon
CP001472.2863353.2864776	Acidobacterium capsulatum
CP000360.5260068.5261561	Candidatus Koribacter versatilis
HQ687087.1.1488	Granulicella mallensis
CP002467.3872526.3874013	Terriglobus saanensis
AUAU01000033.237.1756	Geothrix fermentans
X77215.1.1501	Holophaga foetida
KM200555.1.1459	uncultured Acidobacteria bacterium
CP001631.1616915.1618412	Acidimicrobium ferrooxidans
AF251436.1.1466	Ferrimicrobium acidiphilum
AP012057.2930700.2932220	Ilumatobacter coccineus
CP000481.1397655.1399163	Acidothermus cellulolyticus
AB538436.1.1502	Actinomyces viscosus
CP008802.2102299.2103843	Actinotignum schaalii
LS483427.394538.396056	Arcanobacterium haemolyticum
ATUF01000003.333792.335311	Varibaculum cambriense
AQZN01000011.138144.139687	Actinopolyspora mortivallis
AJ278695.1.1412	Alloscardovia omnicolens
CP015407.787503.789054	Bifidobacterium animalis
CP001849.1589621.1591094	Gardnerella vaginalis
AJ865863.1.1444	Actinospica robiniae
CP001700.6297778.6299284	Catenulispora acidiphila
CP006365.1978369.1979896	Corynebacterium argentoratense
AJ920289.1.1486	Dietzia cinnamea
CP001802.2038665.2040175	Gordonia bronchialis
LC072670.1.1511	Gordonia hongkongensis
EF564379.1.1486	Hoyosella subflava
CP015529.5124999.5126525	Rhodococcus sp. WB1
AB243007.1.1478	Smaragdicoccus niigatensis
LC025527.1.1472	Cryptosporangium cibodasense
CT573213.5633232.5634741	Frankia alni
FO117623.163561.165067	Blastococcus saxobsidens
AY462042.1.1499	Glycomyces arizonensis
EU660053.1.1421	Haloglycomyces albus
FJ157186.1.1519	Jiangella alba
GQ260079.1.1482	Kineococcus radiotolerans
CP001618.1605359.1606875	Beutenbergia cavernae
FN356976.1.1483	Georgenia soli
HQ730135.1.1483	Actinotalea ferrariae
CP001964.1209818.1211325	Cellulomonas flavigena
LT629776.786584.788110	Paraoerskovia marina
AB537169.1.1458	Brachybacterium conglomeratum
X91032.1.1513	Brachybacterium faecium
X91034.1.1511	Dermabacter hominis
AQXW01000002.199347.200854	Demetria terragena
CP008889.2851749.2853279	Dermacoccus nishinomiyaensis
BAGZ01000028.3708.5222	Austwickia chelonae
LT906453.527475.528983	Dermatophilus congolensis
BAHD01000131.114.1637	Kineosphaera limosa
CP012070.2356687.2358215	Arsenicicoccus sp. oral taxon 190
CP002343.1359051.1360560	Intrasporangium calvum
AJ294413.1.1479	Knoellia subterranea
CAIZ01000036.11767.13274	Phycicoccus elongatus
MH698806.1.1504	Terrabacter sp.
LS483423.2582277.2583808	Jonesia denitrificans
CP001686.739195.740721	Kytococcus sedentarius
AULD01000008.847.2348	Agrococcus lahaulensis
ATXG01000026.18916.20423	Agromyces subbeticus
AJKR01000002.555441.556954	Candidatus Aquiluna sp. IMCC13023
CP021034.561118.562646	Clavibacter michiganensis
KC160880.1.1488	Crocebacterium sp. SS6.7
JPRS01000598.3975.5519	Cryobacterium sp. MLB-32
AJ312209.1.1514	Curtobacterium flaccumfaciens
ATWH01000032.3888.5402	Glaciibacter superstes
EF587758.1.1390	Gryllotalpicola ginsengisoli
AB012591.1.1488	Gulosibacter faecalis
AJ306835.1.1430	Gulosibacter molinativorax
ATXT01000006.3842.5353	Humibacter albus
JX010948.1.1493	Leifsonia aquatica
LT629694.311224.312751	Leifsonia sp. 197AMF
KC160689.1.1490	Leifsonia sp. SS9.31
EU622580.1.1491	Leucobacter sp. PGBS003
AB004717.1.1520	Microbacterium keratanolyticum
CP013292.400306.401835	Rathayibacter toxicus
CP007490.515220.516621	Rhodoluna lacicola
AQXM01000028.3980.5490	Acaricomes phytoseiuli
AP009152.2127424.2128956	Kocuria rhizophila
AB023371.1.1468	Micrococcus luteus
FJ607363.1.1411	Micrococcus sp. SeaH-As10s
ATXP01000006.269.1775	Nesterenkonia alba
CP002379.1585101.1586632	Pseudarthrobacter phenanthrenivorans
AY228479.1.1503	Yaniella halotolerans
EU603762.1.1490	Serinicoccus profundi
CP021383.997679.999207	Cellulosimicrobium cellulans
CP002810.3099142.3100651	Isoptericola variabilis
AM709608.1.1450	Promicromonospora kroppenstedtii
AP012319.1197212.1198727	Actinoplanes missouriensis
ARBL01000033.148.1647	Catelliglobosispora koreensis
AUAX01000066.51.1547	Hamadaea tsunoensis
AB089241.1.1476	Longispora albida
EU706350.1.1420	Actinopolymorpha alba
AY253863.1.1510	Kribbella flavida
FJ464983.1.1511	Aeromicrobium sp. DR8
DQ176646.1.1469	Propionicicella superfundia
DQ830982.1.1472	Aestuariimicrobium kwangyangense
AB042288.1.1486	Cutibacterium acnes
AB729070.1.1482	Propionimicrobium lymphophilum
CP025990.1424325.1425843	Actinoalloteichus sp. AHMU CJ021
AF114799.1.1507	Actinokineospora inagensis
ARBI01000033.66.1574	Actinomycetospora chiangmaiensis
AF328679.1.1509	Actinosynnema mirum
AY183357.1.1506	Amycolatopsis kentuckyensis
CP007155.9695776.9697280	Kutzneria albida
MKKE01000074.3467.4997	Saccharomonospora sp. CUA-673
ARAX01000069.3733.5230	Sciscionella marina
ATYX01000004.412909.414419	Thermocrispum agreste
X72377.1.1445	Sporichthya polymorpha
U93332.1.1482	Kitasatospora setae
DQ208700.1.1446	Streptacidiphilus oryzae
AL939108.269793.271323	Streptomyces coelicolor
AWQV01000929.944.2479	Streptomycetaceae bacterium MP113-05
KP277099.1.1525	Marinactinospora endophytica
AJ298058.1.1495	Thermobifida cellulosilytica
AB505224.1.1491	Nonomuraea coxensis
KF667495.1.1494	Actinomadura sp. GKU 147
AJ441006.1.1491	Antarctic bacterium R-9183
MNXI01000065.10291.11835	Candidatus Aquicultor secundus
CP001721.1457029.1458528	Lancefieldella parvula
AB540986.1.1474	Lancefieldella rimae
ABXJ01000150.1579.3071	Collinsella stercoris
CP002628.225677.227175	Coriobacterium glomerans
JN837493.1.1464	Enorma massiliensis
DQ789120.1.1474	Adlercreutzia caecimuris
AB306661.1.1469	Adlercreutzia equolifaciens
AM747811.1.1450	Adlercreutzia mucosicola
CP001682.12849.14352	Cryptobacterium curtum
CP011402.2215596.2217112	Denitrobacterium detoxificans
AF292375.1.1500	Eggerthella lenta
AP012211.976973.978469	Eggerthella sp. YY7918
FP929047.78761.80257	Gordonibacter pamelaeae
EF422408.1.1425	Nitriliruptor alkaliphilus
CP000386.1337366.1338878	Rubrobacter xylanophilus
CP001854.3764582.3766117	Conexibacter woesei
AJ458464.1.1458	Thermoleophilum minutum
MELT01000136.4212.5780	Actinobacteria bacterium RBG_19FT_COMBO_36_27
AE000657.1192069.1193655	Aquifex aeolicus
CP002221.246761.248300	Hydrogenobacter thermophilus
CP002809.1243662.1245205	Hydrogenobaculum sp. SHO
CP001931.855654.857222	Thermocrinis albus
CP002543.495064.496634	Desulfurobacterium thermolithotrophum
CP002444.152859.154435	Thermovibrio ammonificans
HF951689.2845191.2846606	Chthonomonas calidirosea
CP007139.2216287.2217769	Fimbriimonas ginsengisoli
MNXM01000314.15351.16726	Armatimonadetes bacterium CG2_30_59_28
MNXN01000406.14791.16342	Armatimonadetes bacterium CG2_30_66_41
APCU01000223.172.1731	Candidatus Caldatribacterium saccharofermentans
CDPL01000047.22254.23821	Atribacteria bacterium JGI 0000014-F07
AQRR01000038.5346.6898	Atribacteria bacterium JGI 0000079-F20
ASOY01000050.152.1757	Atribacteria bacterium JGI 0000079-L04
AWNT01000010.42863.44412	Atribacteria bacterium JGI OTU-1
MEYG01000109.13423.15011	Candidatus Atribacteria bacterium RBG_16_35_8
CR626927.3205531.3207063	Bacteroides fragilis
CP007034.620467.622007	Barnesiella viscericola
JN703378.1.1490	Coprobacter fastidiosus
ADLV01000001.353.1867	Dysgonomonas gadei
AY742226.1.1523	Proteiniphilum acetatigenes
AB443949.1.1486	Butyricimonas virosa
AB547649.1.1485	Odoribacter splanchnicus
CP002345.191924.193439	Paludibacter propionicigenes
AP012203.2280282.2281801	Porphyromonas gingivalis
ACIJ02000018.407302.408819	Alloprevotella tannerae
AB547652.1.1488	Paraprevotella xylaniphila
CP003368.578899.580323	Prevotella dentalis
CP003274.119147.120561	Alistipes finegoldii
ATXW01000002.1335795.1337303	Rikenella microfusus
CP013291.1125030.1126580	Parabacteroides distasonis
AP013044.700729.702233	Tannerella forsythia
AP010656.1093341.1094861	Candidatus Azobacteroides pseudotrichonymphae
FR839023.1.1515	Alkaliflexus imshenetskii
AEWI01000135.106.1615	Anaerophaga thermohalophila
AJKI01000048.277.1780	Marinilabilia salmonicolor
CP015172.766065.767591	Saccharicrinis fermentans
CP007451.3387430.3388959	Draconibacterium orientale
CP001699.1725733.1727246	Chitinophaga pinensis
CP007035.2227720.2229258	Niabella soli
CP003178.1184433.1185950	Niastella koreensis
ARFB01000021.118844.120350	Segetibacter koreensis
AM230484.1.1519	Terrimonas ferruginea
CP001102.596541.598055	Candidatus Amoebophilus asiaticus
CP003345.1227108.1228525	Bernardetia litoralis
FN396961.1.1502	Cesiribacter andamanensis
ANNU01000014.4110.5611	Nafulsella turpanensis
AAXU02000001.1077624.1079133	Algoriphagus machipongonensis
LT838813.1829942.1831356	Aquiflexum balticum
CP003281.1938930.1940342	Belliella baltica
AMGM01000182.89.1598	Cecembia lonarensis
CP002955.3325804.3327315	Cyclobacterium marinum
CP003346.67128.68539	Echinicola vietnamensis
FM883672.1.1502	Indibacter alkaliphilus
AJYA01000021.1494.2996	Nitritalea halalkaliphila
JMIH01000044.39.1569	Anditalea andensis
AB517712.1.1448	Cytophaga hutchinsonii
ARPG01000002.2291892.2293379	Rudanella lutea
CP001769.7141933.7143427	Spirosoma linguale
AJ310654.1.1488	Sporocytophaga myxococcoides
AB288293.1.1424	Flexithrix dorotheae
M58791.1.1474	Flexithrix dorotheae
AJ626894.1.1445	Adhaeribacter aquaticus
CP006587.1654112.1655634	Hymenobacter sp. APR13
ARDO01000013.184.1684	Pontibacter roseus
CP002349.4141019.4142527	Marivirga tractuosa
AAWS01000012.387.1834	Microscilla marina
KC005305.1.1442	Roseivirga pacifica
CP001619.4003859.4005353	Dyadobacter fermentans
CP002961.2129439.2130927	Emticicia oligotrophica
HE796683.606778.608275	Fibrella aestuarina
CAIT01000009.1963020.1964514	Fibrisoma limi
ATXY01000007.94928.96413	Flectobacillus major
CP002305.2758378.2759866	Leadbetterella byssophila
CP002859.1932891.1934383	Runella slithyformis
FN666240.1.1402	Thermonema rossianum
CP003535.356311.357835	Blattabacterium sp. (Blaberus giganteus)
CP002542.2752771.2754283	Fluviicola taffensis
CP003280.276026.277440	Aequorivita sublithincola
HQ908675.1.1447	Aquimarina litoralis
KC476292.1.1485	Aquimarina megaterium
AY271622.1.1438	Arenibacter certesii
JQ807811.1.1483	Arenitalea lutea
EU021217.1.1519	Bizionia argentinensis
AB517710.1.1446	Capnocytophaga ochracea
CP013136.4371925.4373450	Cellulophaga lytica
CP002046.1256106.1257626	Croceibacter atlanticus
CP002528.1864643.1866156	Dokdonia sp. 4H-3-7-5
AM398681.645428.646927	Flavobacterium psychrophilum
HG315671.836361.837882	Formosa agariphila
AY883937.1.1474	Gaetbulibacter saemankumensis
EU928746.1.1484	Galbibacter marinus
AJ344134.1.1511	Gelidibacter mesophilus
KC160729.1.1481	Gillisia sp. SS10.36
CU207366.676170.677696	Gramella forsetii
AJJU01000016.421.1936	Imtechella halotolerans
AJUG01000002.150496.151996	Joostella marina
AY195836.1.1514	Kordia algicida
CP002825.34754.36261	Lacinutrix sp. 5H-3-7-4
AANC01000011.208.1734	Leeuwenhoekiella blandensis
CP002157.307217.308770	Maribacter sp. HTCC2170
KJ816860.1.1446	Mesoflavibacter zeaxanthinifaciens
DQ367409.1.1434	Mesonia mobilis
CP002999.818658.820171	Muricauda ruestringensis
AGZL01000034.1188.2693	Myroides odoratimimus
CP001397.2039941.2041454	Nonlabens dokdonensis
EF660466.1.1458	Olleya marilimosa
CP004349.1312203.1313710	Polaribacter sp. MED152
APLF01000003.181285.182805	Psychroflexus gondwanensis
CP001712.1335968.1337485	Robiginitalea biformata
CP012872.1701571.1703105	Salegentibacter sp. T436
JHZX01000001.1367369.1368869	Sediminibacter sp. Hel_I_10
JQ352762.1.1371	Sinomicrobium oceani
AB032508.1.1440	Tenacibaculum ovolyticum
CP018155.1486274.1487803	Tenacibaculum todarodis
DQ423479.1.1478	Zhouia amylolytica
FN377720.1.1517	Zobellia sp. E4-9b
CP001650.1984317.1985839	Zunongwangia profunda
CP003156.1917540.1918950	Owenweeksia hongkongensis
AGYA01000006.56697.58212	Bergeyella zoohelcum
AM773820.1.1462	Chryseobacterium gregarium
CP014340.496817.498338	Elizabethkingia anophelis
AF399914.1.1486	Empedobacter brevis
AUAA01000078.1985.3481	Epilithonimonas tenax
U87101.1.1462	Ornithobacterium rhinotracheale
LT906475.1678952.1680456	Riemerella anatipestifer
CP002455.812901.814408	Weeksella virosa
CP002691.2497956.2499459	Haliscomenobacter hydrossis
AM295254.1.1413	Lewinella cohaerens
AB278130.1.1432	Aureispira maritima
CP002831.1966058.1967577	Saprospira grandis
AEIH02000001.1451802.1453304	Mucilaginibacter paludis
DQ421387.1.1477	Olivibacter sitiensis
CP002545.2984298.2985814	Pseudopedobacter saltans
CP003349.736606.738016	Solitalea canadensis
X80994.2.1544	Rhodothermus marinus
AJ431335.1.1345	CFB group bacterium ikaite c9
AM040137.1.1493	uncultured Bacteroidetes bacterium
AQXH01000005.139455.140958	Balneola vulgaris
AQXG01000022.3861.5364	Gracilimonas tropica
AP012051.541386.542944	Caldisericum exile
KX123625.1.1453	candidate division CPR2 bacterium GW2011_GWC2_39_35
MESY01000047.28923.30428	candidate division CPR3 bacterium RIFOXYB2_FULL_35_8
FP565575.1586103.1587651	Candidatus Methylomirabilis oxyfera
CP006914.618581.619995	candidate division WWE3 bacterium RAAC2_WWE3_1
MEVN01000034.29821.31215	candidate division WWE3 bacterium RIFCSPLOWO2_12_FULL_36_10
MEWM01000072.23600.25154	candidate division Zixibacteria bacterium RBG_16_43_9
CP011268.323739.325220	candidate division SR1 bacterium Aalborg_AAW-1
KX123388.1.2322	Candidatus Adlerbacteria bacterium GW2011_GWA2_54_12
KX123464.1.1579	Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9
ASMM01000001.34673.36232	Aerophobetes bacterium JGI 0000014-A15
ASMN01000059.2525.4105	Aerophobetes bacterium SCGC AAA255-F10
KX123387.1.2333	Candidatus Amesbacteria bacterium GW2011_GWA2_42_12
KX123399.1.2200	Candidatus Amesbacteria bacterium GW2011_GWB1_47_19
LCNU01000004.20467.21966	Candidatus Amesbacteria bacterium GW2011_GWC1_47_15
AWNU01000023.18534.20063	Aminicenantes bacterium JGI OTU-2
KX123391.1.2305	Candidatus Azambacteria bacterium GW2011_GWB1_42_17
KX123523.1.1506	Candidatus Azambacteria bacterium GW2011_GWC2_45_7b
KX123482.1.1555	Candidatus Azambacteria bacterium GW2011_GWE2_46_45
KX123549.1.1496	Candidatus Azambacteria bacterium GW2011_GWF1_41_10
LCDI01000005.1.1381	Candidatus Azambacteria bacterium GW2011_GWF2_42_22
CP011210.155569.157035	Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
KX123450.1.1620	Berkelbacteria bacterium GW2011_GWA2_35_9
KX123472.1.1560	Berkelbacteria bacterium GW2011_GWA2_38_9
CP011213.150228.151678	Berkelbacteria bacterium GW2011_GWE1_39_12
MNXR01000004.24028.25496	Candidatus Berkelbacteria bacterium CG2_30_39_44
MNXS01000038.18004.19865	Candidatus Berkelbacteria bacterium CG2_30_43_20
MEZX01000002.366279.368183	Candidatus Berkelbacteria bacterium RIFCSPLOWO2_01_FULL_50_28
MEZY01000050.18847.20231	Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10
ASOB01000010.551.2094	Acetothermia bacterium SCGC AAA255-C06
ASMU01000034.8702.10220	Calescamantes bacterium JGI 0000106-N7
KX123468.1.1560	Candidatus Campbellbacteria bacterium GW2011_GWC2_35_28
AWNX01000092.8321.9853	Cloacimonetes bacterium JGI OTU-1
KX123395.1.2206	Candidatus Collierbacteria bacterium GW2011_GWC1_45_47
MHIT01000023.457.1981	Candidatus Colwellbacteria bacterium RBG_13_48_8
MHIW01000010.10068.11579	Candidatus Colwellbacteria bacterium RIFCSPHIGHO2_12_FULL_43_12
MHIZ01000032.6820.8219	Candidatus Colwellbacteria bacterium RIFCSPLOWO2_02_FULL_44_20b
KX123363.1.2876	Candidatus Curtissbacteria bacterium GW2011_GWA1_40_47
MFBU01000020.53721.55207	Candidatus Curtissbacteria bacterium RIFCSPLOWO2_02_41_11
LDXN01000013.3686.5241	Candidatus Dadabacteria bacterium CSP1-2
KX123375.1.2593	Candidatus Daviesbacteria bacterium GW2011_GWA2_38_24
KX123372.1.2642	Candidatus Daviesbacteria bacterium GW2011_GWA2_42_7
MFDF01000004.31426.32744	Candidatus Daviesbacteria bacterium RIFCSPHIGHO2_12_FULL_37_16
MFFP01000027.251353.252878	Candidatus Edwardsbacteria bacterium RIFOXYD12_FULL_50_11
KX123636.1.1317	Candidatus Falkowbacteria bacterium GW2011_GWA2_41_14
LBUW01000007.67956.69432	Candidatus Falkowbacteria bacterium GW2011_GWD2_38_42
KX123555.1.1493	Candidatus Falkowbacteria bacterium GW2011_GWF2_39_8
KX123590.1.1477	Candidatus Falkowbacteria bacterium GW2011_GWF2_43_32
AWNZ01000028.5500.7107	Candidatus Fervidibacter sacchari
KX123509.1.1525	Candidatus Gottesmanbacteria bacterium GW2011_GWA1_34_13
MFJY01000009.12081.13693	Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_48_11
ASND01000028.18390.19846	Gracilibacteria bacterium JGI 0000069-P22
GQ354904.1.1355	uncultured Candidatus Gracilibacteria bacterium
ASNV01000007.13660.15190	Hydrogenedentes bacterium JGI 0000077-O16
MTOJ01000048.1.1447	Candidatus Hydrothermae bacterium JdFR-74
MHJT01000020.21914.23398	Candidatus Jacksonbacteria bacterium RIFCSPLOWO2_02_FULL_43_9
MHJW01000015.6568.8192	Candidatus Jacksonbacteria bacterium RIFOXYA2_FULL_43_12
LCPF01000001.10536.12010	Candidatus Jorgensenbacteria bacterium GW2011_GWA1_48_11
KX123380.1.2523	Candidatus Jorgensenbacteria bacterium GW2011_GWA2_45_13
LCQK01000003.64973.66448	Candidatus Jorgensenbacteria bacterium GW2011_GWB1_50_10
MHKE01000005.43804.45322	Candidatus Kerfeldbacteria bacterium RIFCSPLOWO2_01_FULL_48_11
MNVB01000064.3653.5151	Candidatus Kuenenbacteria bacterium CG1_02_38_13
AQSL01000078.2339.3877	Candidatus Latescibacter anaerobius
ASMB01000010.13141.14680	Latescibacteria bacterium SCGC AAA252-D10
AQRO01000115.17633.19169	Latescibacteria bacterium SCGC AAA257-K07
MNYS01000006.126767.128533	Candidatus Levybacteria bacterium CG2_30_37_29
KX123621.1.1454	Candidatus Levybacteria bacterium GW2011_GWA1_39_32
KX123471.1.1562	Candidatus Levybacteria bacterium GW2011_GWB1_39_7
KX123592.1.1475	Candidatus Levybacteria bacterium GW2011_GWC1_40_19
MHLE01000021.4132.5633	Candidatus Liptonbacteria bacterium RIFOXYB1_FULL_36_10
KX123513.1.1520	Candidatus Magasanikbacteria bacterium GW2011_GWA2_37_8
KX123385.1.2350	Candidatus Magasanikbacteria bacterium GW2011_GWA2_41_55
LCLH01000025.1638.3141	Candidatus Magasanikbacteria bacterium GW2011_GWC2_45_8
LCEK01000024.7313.8803	Candidatus Magasanikbacteria bacterium GW2011_GWE2_42_7
MFQT01000006.986.2519	Candidatus Magasanikbacteria bacterium RIFOXYB2_FULL_38_10
MFRI01000031.4327.5856	Candidatus Margulisbacteria bacterium GWF2_38_17
ASZK01000001.85035.86587	Marinimicrobia bacterium JGI 0000039-D08
AYLG01000001.49867.51409	Marinimicrobia bacterium JGI 0000113-D11
ASPI01000040.483.2021	Marinimicrobia bacterium SCGC AAA003-E22
ASPJ01000020.8825.10366	Marinimicrobia bacterium SCGC AAA003-L08
AQSA01000023.8453.9992	Marinimicrobia bacterium SCGC AAA160-I06
MOYD01000062.205.1704	Candidatus Gastranaerophilales bacterium Zag_111
MOYA01000001.246169.247640	Candidatus Obscuribacter phosphatis
MFRJ01000085.18042.19564	Candidatus Melainabacteria bacterium GWA2_34_9
CP017245.1475134.1476659	Candidatus Melainabacteria bacterium MEL.A1
MFRQ01000138.9265.10792	Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9
AQSN01000027.16246.17745	Microgenomates bacterium SCGC AAA011-A19
AQSF01000009.11072.12546	Microgenomates bacterium SCGC AAA011-B20
ASNY01000018.1885.3380	Microgenomates bacterium SCGC AAA011-F5
LCPX01000023.9803.11291	Candidatus Moranbacteria bacterium GW2011_GWE1_49_15
KX123456.1.1611	Candidatus Moranbacteria bacterium GW2011_GWE2_35_2-
