otu	accession
AB538436.1.1502	AB538436
AB540984.1.1529	AB540984
AB540986.1.1474	AB540986
AB547649.1.1485	AB547649
AB547652.1.1488	AB547652
AB558169.1.1473	AB558169
AB586075.1.2152	AB586075
AB595128.1.1488	AB595128
AB601002.1.1478	AB601002
AB626633.1.1528	AB626633
AB637319.1.1480	AB637319
AB663384.1.1472	AB663384
AB663392.1.1473	AB663392
AB663400.1.1472	AB663400
AB663432.1.1467	AB663432
AB663457.1.1472	AB663457
AB663467.1.1472	AB663467
AB671761.1.1477	AB671761
AB681109.1.1408	AB681109
AB681768.1.1465	AB681768
AB681806.1.1456	AB681806
AB729070.1.1482	AB729070
AB769482.1.1491	AB769482
AB771431.1.1473	AB771431
AB802715.1.1398	AB802715
AB847982.1.1393	AB847982
AB910748.1.1433	AB910748
AB974082.1.1445	AB974082
AB974087.1.1435	AB974087
ABAV01023297.1433.3227	ABAV01023297
ABBB01000249.31423.33216	ABBB01000249
ABCJ01000005.352.1864	ABCJ01000005
ABCK01000003.100786.102281	ABCK01000003
ABCS01000069.4919.6444	ABCS01000069
ABEA03000104.32049.33587	ABEA03000104
ABEZ02000021.84162.85652	ABEZ02000021
ABGD02000031.941.2453	ABGD02000031
ABIL02000005.2980.4486	ABIL02000005
ABIZ01000001.5019483.5021021	ABIZ01000001
ABOX02000035.71375.72936	ABOX02000035
ABRE01017991.4108.5932	ABRE01017991
ABRK01002815.6135.7917	ABRK01002815
ABRS01000062.60746.62213	ABRS01000062
ABTR02000001.780170.781679	ABTR02000001
ABVF01000122.4504.6293	ABVF01000122
ABWK02000005.70.1618	ABWK02000005
ABXC03002691.100887.102690	ABXC03002691
ABXJ01000150.1579.3071	ABXJ01000150
ABYT01000002.2079.3606	ABYT01000002
AC158206.7522.9332	AC158206
AC213764.121050.122926	AC213764
ACCK01000460.1.1313	ACCK01000460
ACCL02000018.824.2342	ACCL02000018
ACCY01000005.46364.47877	ACCY01000005
ACIJ02000018.407302.408819	ACIJ02000018
ACJH01008033.984.2764	ACJH01008033
ACJN02000001.56313.57862	ACJN02000001
ACZL01000055.405.1921	ACZL01000055
ADAR01000191.5270.7050	ADAR01000191
ADFR01000011.3460.4852	ADFR01000011
ADGC01001322.8721.10240	ADGC01001322
ADKI01001867.5974.7442	ADKI01001867
ADLV01000001.353.1867	ADLV01000001
ADVD01001051.10315.12134	ADVD01001051
ADVG01000004.1029211.1030676	ADVG01000004
ADVJ01006144.15423.17227	ADVJ01006144
AE000657.1192069.1193655	AE000657
AE000666.1718787.1720265	AE000666
AE001437.163474.164983	AE001437
AE008691.1488415.1490034	AE008691
AE009439.516778.518289	AE009439
AE009950.136930.138426	AE009950
AE016827.1721185.1722725	AE016827
AE017261.470727.472195	AE017261
AE017263.191851.193375	AE017263
AEDB02000042.329.1819	AEDB02000042
AEGR01000103.3796.5314	AEGR01000103
AEGW02000009.554995.556509	AEGW02000009
AEIH02000001.1451802.1453304	AEIH02000001
AEIV01000001.680844.682347	AEIV01000001
AEOP01000025.341.1870	AEOP01000025
AEPQ01000257.114.1582	AEPQ01000257
AEQP01000026.54.1572	AEQP01000026
AESD01000223.139.1640	AESD01000223
AEUE01000008.155488.156954	AEUE01000008
AEWC01041800.3159.4639	AEWC01041800
AEWF01000006.3949.5424	AEWF01000006
AEWI01000135.106.1615	AEWI01000135
AF001477.1.1438	AF001477
AF011346.1.1485	AF011346
AF026570.1.1805	AF026570
AF063027.1.1534	AF063027
AF071415.1.1530	AF071415
AF083072.21771.23243	AF083072
AF084618.1.1765	AF084618
AF093427.1.1418	AF093427
AF099062.1.1492	AF099062
AF109678.1.1797	AF109678
AF114799.1.1507	AF114799
AF117776.1.1814	AF117776
AF139992.1.1427	AF139992
AF149979.3391.5139	AF149979
AF153206.1.1748	AF153206
AF180468.1.1383	AF180468
AF243334.1.1524	AF243334
AF244903.1.1830	AF244903
AF251436.1.1466	AF251436
AF271998.1.1795	AF271998
AF285414.1.1484	AF285414
AF292375.1.1500	AF292375
AF293010.1.1498	AF293010
AF313575.1.1711	AF313575
AF325186.1.1402	AF325186
AF328679.1.1509	AF328679
AF330215.1.1759	AF330215
AF332514.1.1497	AF332514
AF338413.1.1408	AF338413
AF349564.1.1797	AF349564
AF382399.1.1534	AF382399
AF385510.1.1522	AF385510
AF399914.1.1486	AF399914
AF407715.1.1493	AF407715
AF408427.1.1805	AF408427
AF418180.1.1523	AF418180
AF445285.1.1525	AF445285
AF513441.1.1384	AF513441
AF513979.1.1533	AF513979
AF525306.1.1362	AF525306
AF529060.1.1489	AF529060
AF534573.1.1456	AF534573
AF536764.1.1452	AF536764
AF538712.1.1482	AF538712
AF548373.1.1537	AF548373
AFFP02000054.75.1590	AFFP02000054
AFGF01000106.1.1560	AFGF01000106
AFHG01000027.189.1709	AFHG01000027
AFWS02000055.527841.529351	AFWS02000055
AFWV01000002.70486.72002	AFWV01000002
AGCO01000001.611619.613073	AGCO01000001
AGCX01000009.4054.5511	AGCX01000009
AGDT01000020.349129.350661	AGDT01000020
AGEF01000001.130585.132119	AGEF01000001
AGEJ01000008.84769.86302	AGEJ01000008
AGRF01000040.13758.15228	AGRF01000040
AGVT01000012.60.1581	AGVT01000012
AGXA01000018.94315.95851	AGXA01000018
AGYA01000006.56697.58212	AGYA01000006
AGZE01000005.9117.10656	AGZE01000005
AGZL01000034.1188.2693	AGZL01000034
AH015107.1010.2233	AH015107
AHAL01000301.1474.3265	AHAL01000301
AHGT01000163.1512.2973	AHGT01000163
AHKJ01000108.121469.122953	AHKJ01000108
AJ010961.1.1506	AJ010961
AJ233419.1.1499	AJ233419
AJ237601.1.1527	AJ237601
AJ238041.1.1412	AJ238041
AJ251215.1.1500	AJ251215
AJ252143.1.1514	AJ252143
AJ277742.1.1473	AJ277742
AJ278695.1.1412	AJ278695
AJ278726.1.1415	AJ278726
AJ294413.1.1479	AJ294413
AJ295144.1.1532	AJ295144
AJ298058.1.1495	AJ298058
AJ306835.1.1430	AJ306835
AJ307981.1.1516	AJ307981
AJ310654.1.1488	AJ310654
AJ312209.1.1514	AJ312209
AJ315983.1.1478	AJ315983
AJ318041.1.1500	AJ318041
AJ344134.1.1511	AJ344134
AJ431335.1.1345	AJ431335
AJ438155.1.1470	AJ438155
AJ441006.1.1491	AJ441006
AJ458464.1.1458	AJ458464
AJ496185.1.1473	AJ496185
AJ508270.1.1710	AJ508270
AJ519986.1.1497	AJ519986
AJ537466.1.1525	AJ537466
AJ544077.1.1364	AJ544077
AJ564616.1.1525	AJ564616
AJ564773.1.1787	AJ564773
AJ578476.1.1421	AJ578476
AJ579914.1.1512	AJ579914
AJ586107.1.1473	AJ586107
AJ586337.1.1440	AJ586337
AJ626894.1.1445	AJ626894
AJ634662.1.1521	AJ634662
AJ715385.1.1415	AJ715385
AJ717299.1.1506	AJ717299
AJ748748.1.1455	AJ748748
AJ786600.1.1449	AJ786600
AJ844281.1.1449	AJ844281
AJ865863.1.1444	AJ865863
AJ867049.1.1500	AJ867049
AJ872268.40096.41656	AJ872268
AJ920289.1.1486	AJ920289
AJ968697.1.1428	AJ968697
AJJU01000016.421.1936	AJJU01000016
AJKI01000048.277.1780	AJKI01000048
AJKR01000002.555441.556954	AJKR01000002
AJLN01000020.9.1481	AJLN01000020
AJUG01000002.150496.151996	AJUG01000002
AJWG01001021.733.2594	AJWG01001021
AJYA01000021.1494.2996	AJYA01000021
AKGD01000001.2155039.2156557	AKGD01000001
AKKQ01000024.146.1526	AKKQ01000024
AKKU01000023.38873.40404	AKKU01000023
AL111168.394130.395642	AL111168
AL596170.116698.118252	AL596170
AL646053.1205189.1206722	AL646053
AL939108.269793.271323	AL939108
AL954747.69146.70677	AL954747
ALOE01000052.9.1492	ALOE01000052
ALVO01000007.393816.395283	ALVO01000007
ALVP01000011.1263.2730	ALVP01000011
ALVW01000015.525265.526734	ALVW01000015
ALVZ01000003.198.1565	ALVZ01000003
AM039978.1.1378	AM039978
AM040137.1.1493	AM040137
AM114102.1.1441	AM114102
AM114193.2083318.2084792	AM114193
AM117571.1.1372	AM117571
AM162406.1.1426	AM162406
AM162407.1.1446	AM162407
AM177497.1.1485	AM177497
AM180252.1403899.1405451	AM180252
AM229259.1.1344	AM229259
AM230484.1.1519	AM230484
AM259915.1.1448	AM259915
AM283465.1.1509	AM283465
AM286423.1.1544	AM286423
AM295254.1.1413	AM295254
AM296500.1.1407	AM296500
AM396358.1.1420	AM396358
AM397080.1.1508	AM397080
AM398681.645428.646927	AM398681
AM420132.1.1439	AM420132
AM462492.29057.30376	AM462492
AM492160.1.1502	AM492160
AM697380.1.1520	AM697380
AM709608.1.1450	AM709608
AM709625.1.1448	AM709625
AM709631.1.1448	AM709631
AM747811.1.1450	AM747811
AM749667.1.1450	AM749667
AM773820.1.1462	AM773820
AM889285.962737.964221	AM889285
AM933756.1.1500	AM933756
AM941746.1.1428	AM941746
AM942759.3876856.3878397	AM942759
AM945651.1.1344	AM945651
AMFJ01036405.2353.3854	AMFJ01036405
AMGM01000182.89.1598	AMGM01000182
AMRX01000001.3417.4924	AMRX01000001
AMSD01000002.83632.85176	AMSD01000002
AMYT01000015.54.1603	AMYT01000015
ANFJ01000002.3066008.3067474	ANFJ01000002
ANNU01000014.4110.5611	ANNU01000014
AOBV01000022.3554.5081	AOBV01000022
AONI01000015.1107796.1109261	AONI01000015
AP006500.506489.508279	AP006500
AP006840.21144.22715	AP006840
AP006878.2022864.2024361	AP006878
AP008230.237001.238657	AP008230
AP008232.200275.201785	AP008232
AP008955.21496.23006	AP008955
AP009152.2127424.2128956	AP009152
AP009153.1882855.1884381	AP009153
AP009384.680516.681983	AP009384
AP009389.265400.266925	AP009389
AP010656.1093341.1094861	AP010656
AP011529.2192978.2194541	AP011529
AP011533.889296.890803	AP011533
AP012027.1121071.1122611	AP012027
AP012029.195826.197323	AP012029
AP012035.2291853.2293343	AP012035
AP012044.1260691.1262224	AP012044
AP012050.93737.95308	AP012050
AP012051.541386.542944	AP012051
AP012057.2930700.2932220	AP012057
AP012159.1886073.1887565	AP012159
AP012200.292410.293811	AP012200
AP012202.43169.44681	AP012202
AP012203.2280282.2281801	AP012203
AP012211.976973.978469	AP012211
AP012276.3322770.3324258	AP012276
AP012304.1820861.1822382	AP012304
AP012319.1197212.1198727	AP012319
AP012337.1275742.1277241	AP012337
AP012338.3063933.3065441	AP012338
AP013044.700729.702233	AP013044
AP013066.1745576.1747120	AP013066
AP014584.31907.33426	AP014584
AP017373.1350283.1351819	AP017373
AP017381.1716844.1718363	AP017381
AP017898.3524508.3525999	AP017898
AP018045.3169959.3171497	AP018045
AP018150.404602.406127	AP018150
AP018166.3816451.3817937	AP018166
AP018233.3027109.3028595	AP018233
AP018317.730907.732391	AP018317
APCU01000223.172.1731	APCU01000223
APJX01000002.234709.236256	APJX01000002
APJY01000001.782068.783547	APJY01000001
APLF01000003.181285.182805	APLF01000003
APMI01000363.28929.30436	APMI01000363
AQOB01000017.75653.77170	AQOB01000017
AQRO01000115.17633.19169	AQRO01000115
AQRR01000038.5346.6898	AQRR01000038
AQRS01000026.3862.5336	AQRS01000026
AQSA01000023.8453.9992	AQSA01000023
AQSF01000009.11072.12546	AQSF01000009
AQSL01000078.2339.3877	AQSL01000078
AQSN01000027.16246.17745	AQSN01000027
AQSZ01000059.14608.16151	AQSZ01000059
AQTV01000144.6373.7900	AQTV01000144
AQVF01000003.15755.17233	AQVF01000003
AQXG01000022.3861.5364	AQXG01000022
AQXH01000005.139455.140958	AQXH01000005
AQXI01000001.2128739.2130197	AQXI01000001
AQXM01000028.3980.5490	AQXM01000028
AQXT01000002.1569233.1570666	AQXT01000002
AQXU01000006.219.1736	AQXU01000006
AQXW01000002.199347.200854	AQXW01000002
AQYM01000016.22627.24108	AQYM01000016
AQZN01000011.138144.139687	AQZN01000011
AQZS01000007.199066.200586	AQZS01000007
AQZZ01000002.9217.10746	AQZZ01000002
ARAE01000002.30816.32317	ARAE01000002
ARAX01000069.3733.5230	ARAX01000069
ARBC01000182.502.2012	ARBC01000182
ARBI01000033.66.1574	ARBI01000033
ARBL01000033.148.1647	ARBL01000033
ARCL01000068.266.1725	ARCL01000068
ARDO01000013.184.1684	ARDO01000013
AREM01000088.49.1565	AREM01000088
ARFB01000021.118844.120350	ARFB01000021
ARFP01000003.3343.4870	ARFP01000003
ARFW01000012.454.1919	ARFW01000012
ARIX01000012.135232.136747	ARIX01000012
ARKF01000015.10211.11729	ARKF01000015
ARPG01000002.2291892.2293379	ARPG01000002
ARPL01000017.16314.17806	ARPL01000017
ARQD01000002.97686.99234	ARQD01000002
ARWA01000001.752244.753710	ARWA01000001
ARWB01000001.3865046.3866508	ARWB01000001
ARWE01000001.2389747.2391258	ARWE01000001
ASAI01000076.6169.7721	ASAI01000076
ASKW01000012.8631.10171	ASKW01000012
ASKX01000004.3232.4703	ASKX01000004
ASMB01000010.13141.14680	ASMB01000010
ASMM01000001.34673.36232	ASMM01000001
ASMN01000059.2525.4105	ASMN01000059
ASMO01000004.23831.25277	ASMO01000004
ASMP01000002.125551.126982	ASMP01000002
ASMQ01000007.23975.25425	ASMQ01000007
ASMR01000001.18974.20405	ASMR01000001
ASMS01000005.11641.13084	ASMS01000005
ASMU01000034.8702.10220	ASMU01000034
ASND01000028.18390.19846	ASND01000028
ASNV01000007.13660.15190	ASNV01000007
ASNX01000003.12819.14290	ASNX01000003
ASNY01000018.1885.3380	ASNY01000018
ASOB01000010.551.2094	ASOB01000010
ASOC01000103.4482.6034	ASOC01000103
ASOY01000050.152.1757	ASOY01000050
ASPI01000040.483.2021	ASPI01000040
ASPJ01000020.8825.10366	ASPJ01000020
ASPK01000003.14512.15983	ASPK01000003
ASRE01017410.444.2254	ASRE01017410
ASRH01000005.110739.112232	ASRH01000005
ASZK01000001.85035.86587	ASZK01000001
ATBP01000008.203.1756	ATBP01000008
ATDT01000040.55.1584	ATDT01000040
ATSX01000009.227.1719	ATSX01000009
ATTE01000001.2869404.2870922	ATTE01000001
ATTH01000001.2391699.2393203	ATTH01000001
ATUF01000003.333792.335311	ATUF01000003
ATUP01000002.411.1857	ATUP01000002
ATUT01000005.67070.68591	ATUT01000005
ATVD01000003.563074.564596	ATVD01000003
ATVH01000016.262574.264046	ATVH01000016
ATVI01000001.120420.121923	ATVI01000001
ATVN01000030.4530.5989	ATVN01000030
ATVO01000004.91274.92741	ATVO01000004
ATWH01000032.3888.5402	ATWH01000032
ATXG01000026.18916.20423	ATXG01000026
ATXH01000052.220.1687	ATXH01000052
ATXI01000006.68852.70404	ATXI01000006
ATXK01000033.74.1540	ATXK01000033
ATXP01000006.269.1775	ATXP01000006
ATXT01000006.3842.5353	ATXT01000006
ATXW01000002.1335795.1337303	ATXW01000002
ATXY01000007.94928.96413	ATXY01000007
ATXZ01000014.201334.202801	ATXZ01000014
ATYX01000004.412909.414419	ATYX01000004
AUAA01000078.1985.3481	AUAA01000078
AUAC01000004.132980.134438	AUAC01000004
AUAF01000218.3412.4931	AUAF01000218
AUAT01000051.79.1494	AUAT01000051
AUAU01000033.237.1756	AUAU01000033
AUAX01000066.51.1547	AUAX01000066
AUBC01000058.44.1506	AUBC01000058
AUBD01000011.3524.5041	AUBD01000011
AUCM01000052.346.1790	AUCM01000052
AUCR01000008.7246.8707	AUCR01000008
AUCU01000039.43293.44828	AUCU01000039
AUHJ01000047.4103.5616	AUHJ01000047
AUHU01000016.4124.5635	AUHU01000016
AUIJ01000005.642.2086	AUIJ01000005
AUKJ01000022.3673.5187	AUKJ01000022
AULD01000008.847.2348	AULD01000008
AUNW02000026.4605.6060	AUNW02000026
AVSQ01000019.27413.28870	AVSQ01000019
AWGA01000005.47.1564	AWGA01000005
AWNT01000010.42863.44412	AWNT01000010
AWNU01000023.18534.20063	AWNU01000023
AWNX01000092.8321.9853	AWNX01000092
AWNZ01000028.5500.7107	AWNZ01000028
AWOC01000023.11513.12991	AWOC01000023
AWOG01000036.535.1990	AWOG01000036
AWQV01000929.944.2479	AWQV01000929
AWSN01000001.338194.339805	AWSN01000001
AWZR01000002.313150.314674	AWZR01000002
AXCJ01000001.179905.181390	AXCJ01000001
AXVX01000020.1198.2740	AXVX01000020
AY005448.1.1448	AY005448
AY005463.1.1431	AY005463
AY007296.1.1499	AY007296
AY028398.1.1469	AY028398
AY028926.1.1507	AY028926
AY039817.1.1413	AY039817
AY046268.1.1746	AY046268
AY049713.1.1456	AY049713
AY050178.1.1805	AY050178
AY056830.1.1457	AY056830
AY117417.1.1863	AY117417
AY117418.1.1844	AY117418
AY117420.1.1867	AY117420
AY136131.1.1533	AY136131
AY149896.1.1770	AY149896
AY183357.1.1506	AY183357
AY188352.1.1546	AY188352
AY189129.1.1515	AY189129
AY195836.1.1514	AY195836
AY207502.1.1456	AY207502
AY218567.1.1494	AY218567
AY228479.1.1503	AY228479
AY251644.1.1842	AY251644
AY252113.1.1555	AY252113
AY253863.1.1510	AY253863
AY271622.1.1438	AY271622
AY305326.1543.3351	AY305326
AY326462.1.1473	AY326462
AY331143.1.1531	AY331143
AY345389.1.1398	AY345389
AY387670.1.1471	AY387670
AY388649.1.1360	AY388649
AY462042.1.1499	AY462042
AY508462.1.1741	AY508462
AY527274.1.1364	AY527274
AY538171.1.1559	AY538171
AY538749.1.1536	AY538749
AY546685.1.1902	AY546685
AY548776.1.1567	AY548776
AY550102.1.1518	AY550102
AY559412.1.1532	AY559412
AY594264.1.1517	AY594264
AY596469.1.1491	AY596469
AY643537.1.1457	AY643537
AY649762.1.1474	AY649762
AY657007.1.1777	AY657007
AY671975.1.1408	AY671975
AY673993.1.1473	AY673993
AY682384.1.1448	AY682384
AY705952.1.1797	AY705952
AY742226.1.1523	AY742226
AY753654.1.1485	AY753654
AY762980.1.1534	AY762980
AY780907.1.1491	AY780907
AY788950.1.1491	AY788950
AY835420.1.1448	AY835420
AY837748.1.1498	AY837748
AY883937.1.1474	AY883937
AY943950.1.1793	AY943950
AY962414.1.1799	AY962414
AYLG01000001.49867.51409	AYLG01000001
AYLI01000329.16498.17954	AYLI01000329
AYLJ01000015.6614.8072	AYLJ01000015
AYLK01000292.9273.10729	AYLK01000292
AYLL01000252.31846.33305	AYLL01000252
AYMB01000008.96097.97593	AYMB01000008
AYOD01000070.271.1739	AYOD01000070
AZHW01000045.7.1521	AZHW01000045
AZNU01000004.217712.219220	AZNU01000004
AZSO01000079.3872.5417	AZSO01000079
AZXQ01000006.90100.91714	AZXQ01000006
AZYG01000049.26827.28341	AZYG01000049
BA000021.136582.138132	BA000021
BA000028.2353644.2355210	BA000028
BA000039.2335243.2336733	BA000039
BA000045.1571231.1572715	BA000045
BAGZ01000028.3708.5222	BAGZ01000028
BAHD01000131.114.1637	BAHD01000131
BAUP01000039.7497.8974	BAUP01000039
BAYY01000283.3055.4588	BAYY01000283
BX294149.206764.208278	BX294149
BX571657.136191.137670	BX571657
BX571873.277164.278708	BX571873
BX842650.295616.297109	BX842650
CAEN01000062.3382.4895	CAEN01000062
CAEU01000072.81.1610	CAEU01000072
CAIT01000009.1963020.1964514	CAIT01000009
CAIZ01000036.11767.13274	CAIZ01000036
CALK01000057.3384.4901	CALK01000057
CAQP01000054.954.2478	CAQP01000054
CAVN010000111.123517.125031	CAVN010000111
CCXY01000234.9028.10480	CCXY01000234
CDPL01000047.22254.23821	CDPL01000047
CETV01269389.578.2020	CETV01269389
CP000013.446773.448310	CP000013
CP000030.247477.248979	CP000030
CP000033.1632689.1634260	CP000033
CP000061.271735.273265	CP000061
CP000097.373319.374797	CP000097
CP000102.408655.410144	CP000102
CP000103.562629.564157	CP000103
CP000113.8965179.8966718	CP000113
CP000116.1863920.1865429	CP000116
CP000127.999383.1000873	CP000127
CP000141.2112241.2113740	CP000141
CP000142.2750584.2752141	CP000142
CP000155.1588347.1589881	CP000155
CP000157.63530.65023	CP000157
CP000158.2818559.2819913	CP000158
CP000236.942218.943726	CP000236
CP000237.36268.37765	CP000237
CP000245.566088.567610	CP000245
CP000252.738017.739575	CP000252
CP000254.3501525.3502990	CP000254
CP000264.4083217.4084677	CP000264
CP000267.4118284.4119814	CP000267
CP000269.259683.261216	CP000269
CP000282.3213358.3214883	CP000282
CP000284.2233413.2234878	CP000284
CP000300.1876623.1878098	CP000300
CP000323.651956.653541	CP000323
CP000359.157596.159088	CP000359
CP000360.5260068.5261561	CP000360
CP000386.1337366.1338878	CP000386
CP000411.1277133.1278699	CP000411
CP000448.417882.419570	CP000448
CP000449.1183394.1184853	CP000449
CP000453.368208.369739	CP000453
CP000471.275258.276753	CP000471
CP000477.1617193.1618665	CP000477
CP000478.3187202.3188756	CP000478
CP000481.1397655.1399163	CP000481
CP000510.91410.92948	CP000510
CP000512.1577962.1579483	CP000512
CP000529.425434.426956	CP000529
CP000542.1980681.1982207	CP000542
CP000559.1015589.1017053	CP000559
CP000592.126178.127937	CP000592
CP000678.333483.334957	CP000678
CP000682.1705274.1706771	CP000682
CP000771.812951.814312	CP000771
CP000780.2250513.2251978	CP000780
CP000786.1121323.1122598	CP000786
CP000804.5183512.5184980	CP000804
CP000816.728379.729800	CP000816
CP000817.10101.11641	CP000817
CP000828.5636175.5637675	CP000828
CP000830.617247.618708	CP000830
CP000853.49919.51423	CP000853
CP000859.680920.682475	CP000859
CP000860.142718.144409	CP000860
CP000875.1974899.1976373	CP000875
CP000879.2041444.2042943	CP000879
CP000884.6692888.6694413	CP000884
CP000885.15754.17276	CP000885
CP000909.5131307.5132780	CP000909
CP000922.245925.247448	CP000922
CP000930.2797495.2799004	CP000930
CP000934.1059926.1061459	CP000934
CP000968.1326582.1328013	CP000968
CP001014.690421.692612	CP001014
CP001016.680554.682033	CP001016
CP001032.2051334.2052884	CP001032
CP001034.10608.12073	CP001034
CP001055.1535259.1536691	CP001055
CP001071.320473.321977	CP001071
CP001085.337291.338850	CP001085
CP001087.3947416.3948962	CP001087
CP001089.768668.770218	CP001089
CP001098.19830.21373	CP001098
CP001099.112910.114404	CP001099
CP001100.907300.908779	CP001100
CP001102.596541.598055	CP001102
CP001108.147535.149029	CP001108
CP001133.523565.525116	CP001133
CP001146.1077333.1078873	CP001146
CP001147.916471.917963	CP001147
CP001154.2650124.2651647	CP001154
CP001157.4279431.4280965	CP001157
CP001158.275201.276740	CP001158
CP001185.683454.684854	CP001185
CP001251.1244224.1245764	CP001251
CP001276.536298.537819	CP001276
CP001279.139776.141273	CP001279
CP001280.1934569.1936043	CP001280
CP001281.454429.455955	CP001281
CP001322.4580234.4581782	CP001322
CP001338.1211335.1212796	CP001338
CP001366.161307.162776	CP001366
CP001391.1289969.1291473	CP001391
CP001397.2039941.2041454	CP001397
CP001472.2863353.2864776	CP001472
CP001616.26293.27826	CP001616
CP001618.1605359.1606875	CP001618
CP001619.4003859.4005353	CP001619
CP001629.3896599.3898140	CP001629
CP001631.1616915.1618412	CP001631
CP001650.1984317.1985839	CP001650
CP001674.666264.667796	CP001674
CP001678.2336684.2338119	CP001678
CP001682.12849.14352	CP001682
CP001686.739195.740721	CP001686
CP001699.1725733.1727246	CP001699
CP001700.6297778.6299284	CP001700
CP001707.1159862.1161388	CP001707
CP001708.81697.83211	CP001708
CP001712.1335968.1337485	CP001712
CP001721.1457029.1458528	CP001721
CP001734.1976777.1978319	CP001734
CP001739.3106539.3108040	CP001739
CP001742.176279.177775	CP001742
CP001743.590782.592258	CP001743
CP001744.638957.640480	CP001744
CP001751.2138901.2140385	CP001751
CP001769.7141933.7143427	CP001769
CP001785.1682354.1683921	CP001785
CP001791.1364920.1366474	CP001791
CP001792.1787695.1789183	CP001792
CP001802.2038665.2040175	CP001802
CP001804.2898792.2900335	CP001804
CP001818.1104895.1106404	CP001818
CP001823.579562.581058	CP001823
CP001849.1589621.1591094	CP001849
CP001854.3764582.3766117	CP001854
CP001859.57719.59263	CP001859
CP001896.2025534.2027048	CP001896
CP001899.1403988.1405498	CP001899
CP001928.1839454.1840994	CP001928
CP001931.855654.857222	CP001931
CP001939.52824.54320	CP001939
CP001940.616282.617831	CP001940
CP001959.1912474.1913976	CP001959
CP001964.1209818.1211325	CP001964
CP001965.1926830.1928357	CP001965
CP001968.2671440.2672979	CP001968
CP001994.1905694.1907168	CP001994
CP001997.417874.419393	CP001997
CP001998.2186477.2188018	CP001998
CP001999.237935.239439	CP001999
CP002017.1368697.1370224	CP002017
CP002046.1256106.1257626	CP002046
CP002049.86621.88117	CP002049
CP002051.1270431.1271941	CP002051
CP002056.127113.128638	CP002056
CP002059.2217271.2218747	CP002059
CP002069.48670.50146	CP002069
CP002084.346274.347765	CP002084
CP002085.333737.335281	CP002085
CP002098.1279164.1280671	CP002098
CP002100.631480.632991	CP002100
CP002101.1236823.1238300	CP002101
CP002102.2980512.2981960	CP002102
CP002105.10646.12170	CP002105
