otu	accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
AB001783.1.1507	AB001783	83555	Chlamydia abortus	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	Bacteria➤Chlamydiae➤Chlamydiia➤Chlamydiales➤Chlamydiaceae➤Chlamydia➤Chlamydia abortus
AB002068.1.1767	AB002068	40380	Aspergillus ochraceus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Eurotiomycetes➤Eurotiales➤Aspergillaceae➤Aspergillus➤Aspergillus ochraceus
AB004717.1.1520	AB004717	67574	Microbacterium keratanolyticum	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Microbacterium➤Microbacterium keratanolyticum
AB004878.1.1473	AB004878	543526	Haloterrigena turkmenica	Haloterrigena	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Haloterrigena➤Haloterrigena turkmenica
AB006763.1.1465	AB006763	64979	Oceanospirillum maris	Oceanospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Oceanospirillaceae➤Oceanospirillum➤Oceanospirillum maris
AB006767.1.1452	AB006767	64972	Oceanobacter kriegii	Oceanobacter	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Oceanospirillaceae➤Oceanobacter➤Oceanobacter kriegii
AB006768.1.1429	AB006768	64973	Terasakiella pusilla	Terasakiella	Terasakiellaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodospirillales➤Terasakiellaceae➤Terasakiella➤Terasakiella pusilla
AB008801.1.1466	AB008801	196015	Caldimonas manganoxidans	Caldimonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Comamonadaceae➤Caldimonas➤Caldimonas manganoxidans
AB012591.1.1488	AB012591	272240	Gulosibacter faecalis	Gulosibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Gulosibacter➤Gulosibacter faecalis
AB012760.1.1394	AB012760	75685	alpha proteobacterium MBIC3366	Unclassified Beijerinckiaceae	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Beijerinckiaceae➤Unclassified Beijerinckiaceae➤alpha proteobacterium MBIC3366
AB013522.1.1782	AB013522	45565	[Candida] lyxosophila	Spathaspora	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Saccharomycetes➤Saccharomycetales➤Debaryomycetaceae➤Spathaspora➤[Candida] lyxosophila
AB013555.1.1782	AB013555	5493	[Candida] zeylanoides	Kurtzmaniella	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Saccharomycetes➤Saccharomycetales➤Debaryomycetaceae➤Kurtzmaniella➤[Candida] zeylanoides
AB013926.1.1642	AB013926	76887	Caldivirga maquilingensis	Caldivirga	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Caldivirga➤Caldivirga maquilingensis
AB016510.1.1753	AB016510	432096	Kazachstania africana	Kazachstania	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Saccharomycetes➤Saccharomycetales➤Saccharomycetaceae➤Kazachstania➤Kazachstania africana
AB021400.1.1522	AB021400	1336237	Phaseolibacter flectens	Phaseolibacter	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Enterobacterales➤Erwiniaceae➤Phaseolibacter➤Phaseolibacter flectens
AB023371.1.1468	AB023371	1270	Micrococcus luteus	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Micrococcus➤Micrococcus luteus
AB024289.1.1476	AB024289	56361	Sphingomonas ursincola	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Sphingomonadales➤Sphingomonadaceae➤Sphingomonas➤Sphingomonas ursincola
AB032508.1.1440	AB032508	104270	Tenacibaculum ovolyticum	Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Flavobacteriia➤Flavobacteriales➤Flavobacteriaceae➤Tenacibaculum➤Tenacibaculum ovolyticum
AB035416.1.1411	AB035416	110479	Asaia siamensis	Asaia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodospirillales➤Acetobacteraceae➤Asaia➤Asaia siamensis
AB036759.1.1480	AB036759	887929	Pseudoramibacter alactolyticus	Pseudoramibacter	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Eubacteriaceae➤Pseudoramibacter➤Pseudoramibacter alactolyticus
AB039000.1.1440	AB039000	102232	Gloeocapsa sp. PCC 73106	Gloeocapsa	Chroococcaceae	Chroococcales	Unclassified Cyanobacteria	Cyanobacteria	Bacteria	Bacteria➤Cyanobacteria➤Unclassified Cyanobacteria➤Chroococcales➤Chroococcaceae➤Gloeocapsa➤Gloeocapsa sp. PCC 73106
AB042288.1.1486	AB042288	1747	Cutibacterium acnes	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Propionibacteriaceae➤Cutibacterium➤Cutibacterium acnes
AB048285.1.1773	AB048285	38033	Chaetomium globosum	Chaetomium	Chaetomiaceae	Sordariales	Sordariomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Sordariomycetes➤Sordariales➤Chaetomiaceae➤Chaetomium➤Chaetomium globosum
AB049939.1.1459	AB049939	139808	Shimazuella kribbensis	Shimazuella	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Thermoactinomycetaceae➤Shimazuella➤Shimazuella kribbensis
AB050206.1.1687	AB050206	140246	uncultured archaeon SAGMA-B	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon SAGMA-B
AB053122.1.1536	AB053122	1113728	Alcanivorax sp. NBRC 101098	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Alcanivoracaceae➤Alcanivorax➤Alcanivorax sp. NBRC 101098
AB056318.1.1416	AB056318	153496	Kozakia baliensis	Kozakia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodospirillales➤Acetobacteraceae➤Kozakia➤Kozakia baliensis
AB063324.1.1498	AB063324	163869	Algicola sagamiensis	Algicola	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Alteromonadales➤Pseudoalteromonadaceae➤Algicola➤Algicola sagamiensis
AB076559.1.1472	AB076559	182262	Agarivorans albus	Agarivorans	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Alteromonadales➤Alteromonadaceae➤Agarivorans➤Agarivorans albus
AB078332.1.1498	AB078332	410359	Pyrobaculum calidifontis	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Pyrobaculum➤Pyrobaculum calidifontis
AB079382.1.1493	AB079382	869210	Marinithermus hydrothermalis	Marinithermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	Bacteria	Bacteria➤Deinococcus-Thermus➤Deinococci➤Thermales➤Thermaceae➤Marinithermus➤Marinithermus hydrothermalis
AB084253.1.1480	AB084253	54	Sorangium cellulosum	Sorangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Deltaproteobacteria➤Myxococcales➤Polyangiaceae➤Sorangium➤Sorangium cellulosum
AB087261.1.1479	AB087261	153493	Conchiformibius steedae	Conchiformibius	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Neisseriales➤Neisseriaceae➤Conchiformibius➤Conchiformibius steedae
AB087264.1.1492	AB087264	153491	Alysiella crassa	Alysiella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Neisseriales➤Neisseriaceae➤Alysiella➤Alysiella crassa
AB087499.1.1466	AB087499	1056495	Caldisphaera lagunensis	Caldisphaera	Caldisphaeraceae	Acidilobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Acidilobales➤Caldisphaeraceae➤Caldisphaera➤Caldisphaera lagunensis
AB088305.1.1802	AB088305	2926	Alexandrium tamarense	Alexandrium	Pyrocystaceae	Gonyaulacales	Dinophyceae	Unclassified Eukaryota	Eukaryota	Eukaryota➤Unclassified Eukaryota➤Dinophyceae➤Gonyaulacales➤Pyrocystaceae➤Alexandrium➤Alexandrium tamarense
AB089241.1.1476	AB089241	203523	Longispora albida	Longispora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micromonosporales➤Micromonosporaceae➤Longispora➤Longispora albida
AB089482.1.1449	AB089482	203699	Derxia gummosa	Derxia	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Alcaligenaceae➤Derxia➤Derxia gummosa
AB091196.1.1526	AB091196	81475	Frateuria aurantia	Frateuria	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Xanthomonadales➤Rhodanobacteraceae➤Frateuria➤Frateuria aurantia
AB097590.1.1480	AB097590	215803	Enhygromyxa salina	Enhygromyxa	Unclassified Myxococcales	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Deltaproteobacteria➤Myxococcales➤Unclassified Myxococcales➤Enhygromyxa➤Enhygromyxa salina
AB098511.1.1432	AB098511	217169	Marinospirillum insulare	Marinospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Oceanospirillaceae➤Marinospirillum➤Marinospirillum insulare
AB104447.1.1529	AB104447	221992	Cupriavidus numazuensis	Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Burkholderiaceae➤Cupriavidus➤Cupriavidus numazuensis
AB109771.667.2190	AB109771	334413	Finegoldia magna	Finegoldia	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Tissierellia➤Tissierellales➤Peptoniphilaceae➤Finegoldia➤Finegoldia magna
AB109889.1.1484	AB109889	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Comamonadaceae➤Curvibacter➤Curvibacter gracilis
AB110421.1.1436	AB110421	231053	Saccharibacter floricola	Saccharibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodospirillales➤Acetobacteraceae➤Saccharibacter➤Saccharibacter floricola
AB159680.1.1435	AB159680	261934	Pleomorphomonas oryzae	Pleomorphomonas	Pleomorphomonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Pleomorphomonadaceae➤Pleomorphomonas➤Pleomorphomonas oryzae
AB162774.1.1433	AB162774	882090	Methanolinea tarda	Methanolinea	Methanoregulaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanoregulaceae➤Methanolinea➤Methanolinea tarda
AB167820.1.1431	AB167820	267990	Lebetimonas acidiphila	Lebetimonas	Nautiliaceae	Nautiliales	Epsilonproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Epsilonproteobacteria➤Nautiliales➤Nautiliaceae➤Lebetimonas➤Lebetimonas acidiphila
AB176554.1.1515	AB176554	270495	Fangia hongkongensis	Fangia	Fastidiosibacteraceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Thiotrichales➤Fastidiosibacteraceae➤Fangia➤Fangia hongkongensis
AB186359.1.1560	AB186359	720554	Acetivibrio clariflavus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Oscillospiraceae➤Acetivibrio➤Acetivibrio clariflavus
AB193974.1.1440	AB193974	115547	uncultured archaeon	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon
AB200304.1.1489	AB200304	77133	uncultured bacterium	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Bacteria	Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤uncultured bacterium
AB212873.1.1482	AB212873	909663	Syntrophorhabdus aromaticivorans	Syntrophorhabdus	Syntrophorhabdaceae	Syntrophorhabdales	Deltaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Deltaproteobacteria➤Syntrophorhabdales➤Syntrophorhabdaceae➤Syntrophorhabdus➤Syntrophorhabdus aromaticivorans
AB222249.1.1520	AB222249	337829	Alicyclobacillus sp. IAM 14934	Alicyclobacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Alicyclobacillaceae➤Alicyclobacillus➤Alicyclobacillus sp. IAM 14934
AB231786.1.1486	AB231786	340097	Tuberibacillus calidus	Tuberibacillus	Sporolactobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Sporolactobacillaceae➤Tuberibacillus➤Tuberibacillus calidus
AB238922.1.1488	AB238922	823	Wolinella succinogenes	Wolinella	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Epsilonproteobacteria➤Campylobacterales➤Helicobacteraceae➤Wolinella➤Wolinella succinogenes
AB243007.1.1478	AB243007	359359	Smaragdicoccus niigatensis	Smaragdicoccus	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Corynebacteriales➤Nocardiaceae➤Smaragdicoccus➤Smaragdicoccus niigatensis
AB250414.1.1747	AB250414	5518	Fusarium graminearum	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Sordariomycetes➤Hypocreales➤Nectriaceae➤Fusarium➤Fusarium graminearum
AB264529.1.1492	AB264529	392827	Halalkalibacillus halophilus	Halalkalibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Bacillaceae➤Halalkalibacillus➤Halalkalibacillus halophilus
AB273737.1.1490	AB273737	158852	Trabulsiella guamensis	Trabulsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Enterobacterales➤Enterobacteriaceae➤Trabulsiella➤Trabulsiella guamensis
AB278130.1.1432	AB278130	407844	Aureispira maritima	Aureispira	Saprospiraceae	Saprospirales	Saprospiria	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Saprospiria➤Saprospirales➤Saprospiraceae➤Aureispira➤Aureispira maritima
AB288092.1.1498	AB288092	1122599	Neptunomonas japonica	Neptunomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Oceanospirillaceae➤Neptunomonas➤Neptunomonas japonica
AB288293.1.1424	AB288293	70993	Flexithrix dorotheae	Flexithrix	Flammeovirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Cytophagia➤Cytophagales➤Flammeovirgaceae➤Flexithrix➤Flexithrix dorotheae
AB289439.1.1426	AB289439	418853	Sneathiella glossodoripedis	Sneathiella	Sneathiellaceae	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Sneathiellales➤Sneathiellaceae➤Sneathiella➤Sneathiella glossodoripedis
AB301717.1.1464	AB301717	438855	Methylomarinum vadi	Methylomarinum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Methylococcales➤Methylococcaceae➤Methylomarinum➤Methylomarinum vadi
AB306661.1.1469	AB306661	446660	Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Adlercreutzia➤Adlercreutzia equolifaciens
AB370250.1.1494	AB370250	762966	Parasutterella excrementihominis	Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Sutterellaceae➤Parasutterella➤Parasutterella excrementihominis
AB430339.1.1446	AB430339	515351	Lacticigenium naphthae	Lacticigenium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Lactobacillales➤Carnobacteriaceae➤Lacticigenium➤Lacticigenium naphthae
AB443949.1.1486	AB443949	544645	Butyricimonas virosa	Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Odoribacteraceae➤Butyricimonas➤Butyricimonas virosa
AB450762.1.1471	AB450762	551788	Caldicoprobacter oshimai	Caldicoprobacter	Caldicoprobacteraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Caldicoprobacteraceae➤Caldicoprobacter➤Caldicoprobacter oshimai
AB477223.1.1434	AB477223	795797	Halalkalicoccus jeotgali	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Halobacteriaceae➤Halalkalicoccus➤Halalkalicoccus jeotgali
AB477231.1.1433	AB477231	797303	Natrinema pellirubrum	Natrinema	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Natrinema➤Natrinema pellirubrum
AB477974.1.1431	AB477974	797210	Halopiger xanaduensis	Halopiger	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Halopiger➤Halopiger xanaduensis
AB490811.1.1610	AB490811	626939	Phascolarctobacterium succinatutens	Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Negativicutes➤Acidaminococcales➤Acidaminococcaceae➤Phascolarctobacterium➤Phascolarctobacterium succinatutens
AB501287.1.1488	AB501287	1078846	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Methylococcales➤Methylococcaceae➤Methylovulum➤Methylovulum miyakonense
AB505224.1.1491	AB505224	404386	Nonomuraea coxensis	Nonomuraea	Streptosporangiaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptosporangiales➤Streptosporangiaceae➤Nonomuraea➤Nonomuraea coxensis
AB517710.1.1446	AB517710	985	Capnocytophaga ochracea	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Flavobacteriia➤Flavobacteriales➤Flavobacteriaceae➤Capnocytophaga➤Capnocytophaga ochracea
AB517712.1.1448	AB517712	982	Cytophaga hutchinsonii	Cytophaga	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Cytophagia➤Cytophagales➤Cytophagaceae➤Cytophaga➤Cytophaga hutchinsonii
AB536782.1.1476	AB536782	4909	Pichia kudriavzevii	Pichia	Pichiaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Saccharomycetes➤Saccharomycetales➤Pichiaceae➤Pichia➤Pichia kudriavzevii
