accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
JPRS01000598	1529318	Cryobacterium sp. MLB-32	Cryobacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Cryobacterium➤Cryobacterium sp. MLB-32
AJ312209	138532	Curtobacterium flaccumfaciens	Curtobacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Curtobacterium➤Curtobacterium flaccumfaciens
ATWH01000032	1121924	Glaciibacter superstes	Glaciibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Glaciibacter➤Glaciibacter superstes
EF587758	1121372	Gryllotalpicola ginsengisoli	Gryllotalpicola	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Gryllotalpicola➤Gryllotalpicola ginsengisoli
AB012591	272240	Gulosibacter faecalis	Gulosibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Gulosibacter➤Gulosibacter faecalis
AJ306835	256821	Gulosibacter molinativorax	Gulosibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Gulosibacter➤Gulosibacter molinativorax
ATXT01000006	1121952	Humibacter albus	Humibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Humibacter➤Humibacter albus
JX010948	144185	Leifsonia aquatica	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Leifsonia➤Leifsonia aquatica
LT629694	1798217	Leifsonia sp. 197AMF	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Leifsonia➤Leifsonia sp. 197AMF
KC160689	1277115	Leifsonia sp. SS9.31	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Leifsonia➤Leifsonia sp. SS9.31
EU622580	521737	Leucobacter sp. PGBS003	Leucobacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Leucobacter➤Leucobacter sp. PGBS003
AB004717	67574	Microbacterium keratanolyticum	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Microbacterium➤Microbacterium keratanolyticum
CP013292	145458	Rathayibacter toxicus	Rathayibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Rathayibacter➤Rathayibacter toxicus
CP007490	529884	Rhodoluna lacicola	Rhodoluna	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Microbacteriaceae➤Rhodoluna➤Rhodoluna lacicola
AQXM01000028	1120917	Acaricomes phytoseiuli	Acaricomes	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Acaricomes➤Acaricomes phytoseiuli
AP009152	378753	Kocuria rhizophila	Kocuria	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Kocuria➤Kocuria rhizophila
AB023371	1270	Micrococcus luteus	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Micrococcus➤Micrococcus luteus
FJ607363	593499	Micrococcus sp. SeaH-As10s	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Micrococcus➤Micrococcus sp. SeaH-As10s
ATXP01000006	1122602	Nesterenkonia alba	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Nesterenkonia➤Nesterenkonia alba
CP002379	930171	Pseudarthrobacter phenanthrenivorans	Pseudarthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Pseudarthrobacter➤Pseudarthrobacter phenanthrenivorans
AY228479	225453	Yaniella halotolerans	Yaniella	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Yaniella➤Yaniella halotolerans
EU603762	1043205	Serinicoccus profundi	Serinicoccus	Ornithinimicrobiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Ornithinimicrobiaceae➤Serinicoccus➤Serinicoccus profundi
CP021383	1710	Cellulosimicrobium cellulans	Cellulosimicrobium	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Promicromonosporaceae➤Cellulosimicrobium➤Cellulosimicrobium cellulans
CP002810	743718	Isoptericola variabilis	Isoptericola	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Promicromonosporaceae➤Isoptericola➤Isoptericola variabilis
AM709608	926564	Promicromonospora kroppenstedtii	Promicromonospora	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Promicromonosporaceae➤Promicromonospora➤Promicromonospora kroppenstedtii
AP012319	512565	Actinoplanes missouriensis	Actinoplanes	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micromonosporales➤Micromonosporaceae➤Actinoplanes➤Actinoplanes missouriensis
ARBL01000033	1121272	Catelliglobosispora koreensis	Catelliglobosispora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micromonosporales➤Micromonosporaceae➤Catelliglobosispora➤Catelliglobosispora koreensis
AUAX01000066	1121946	Hamadaea tsunoensis	Hamadaea	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micromonosporales➤Micromonosporaceae➤Hamadaea➤Hamadaea tsunoensis
AB089241	203523	Longispora albida	Longispora	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micromonosporales➤Micromonosporaceae➤Longispora➤Longispora albida
EU706350	533267	Actinopolymorpha alba	Actinopolymorpha	Actinopolymorphaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Actinopolymorphaceae➤Actinopolymorpha➤Actinopolymorpha alba
AY253863	182640	Kribbella flavida	Kribbella	Kribbellaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Kribbellaceae➤Kribbella➤Kribbella flavida
FJ464983	579977	Aeromicrobium sp. DR8	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Nocardioidaceae➤Aeromicrobium➤Aeromicrobium sp. DR8
DQ176646	348582	Propionicicella superfundia	Propionicicella	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Nocardioidaceae➤Propionicicella➤Propionicicella superfundia
DQ830982	396389	Aestuariimicrobium kwangyangense	Aestuariimicrobium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Propionibacteriaceae➤Aestuariimicrobium➤Aestuariimicrobium kwangyangense
AB042288	1747	Cutibacterium acnes	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Propionibacteriaceae➤Cutibacterium➤Cutibacterium acnes
AB729070	33012	Propionimicrobium lymphophilum	Propionimicrobium	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Propionibacteriaceae➤Propionimicrobium➤Propionimicrobium lymphophilum
CP025990	2072503	Actinoalloteichus sp. AHMU CJ021	Actinoalloteichus	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Actinoalloteichus➤Actinoalloteichus sp. AHMU CJ021
AF114799	103730	Actinokineospora inagensis	Actinokineospora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Actinokineospora➤Actinokineospora inagensis
ARBI01000033	1120948	Actinomycetospora chiangmaiensis	Actinomycetospora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Actinomycetospora➤Actinomycetospora chiangmaiensis
AF328679	446462	Actinosynnema mirum	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Actinosynnema➤Actinosynnema mirum
AY183357	218823	Amycolatopsis kentuckyensis	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Amycolatopsis➤Amycolatopsis kentuckyensis
CP007155	1449976	Kutzneria albida	Kutzneria	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Kutzneria➤Kutzneria albida
MKKE01000074	1904969	Saccharomonospora sp. CUA-673	Saccharomonospora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Saccharomonospora➤Saccharomonospora sp. CUA-673
ARAX01000069	1123244	Sciscionella marina	Sciscionella	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Sciscionella➤Sciscionella marina
ATYX01000004	1111738	Thermocrispum agreste	Thermocrispum	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Thermocrispum➤Thermocrispum agreste
X72377	35751	Sporichthya polymorpha	Sporichthya	Sporichthyaceae	Sporichthyales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Sporichthyales➤Sporichthyaceae➤Sporichthya➤Sporichthya polymorpha
U93332	452652	Kitasatospora setae	Kitasatospora	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptomycetales➤Streptomycetaceae➤Kitasatospora➤Kitasatospora setae
DQ208700	348818	Streptacidiphilus oryzae	Streptacidiphilus	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptomycetales➤Streptomycetaceae➤Streptacidiphilus➤Streptacidiphilus oryzae
AL939108	100226	Streptomyces coelicolor	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptomycetales➤Streptomycetaceae➤Streptomyces➤Streptomyces coelicolor
AWQV01000929	1380770	Streptomycetaceae bacterium MP113-05	Unclassified Streptomycetaceae	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptomycetales➤Streptomycetaceae➤Unclassified Streptomycetaceae➤Streptomycetaceae bacterium MP113-05
KP277099	1634059	Marinactinospora endophytica	Marinactinospora	Nocardiopsaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptosporangiales➤Nocardiopsaceae➤Marinactinospora➤Marinactinospora endophytica
AJ298058	665004	Thermobifida cellulosilytica	Thermobifida	Nocardiopsaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptosporangiales➤Nocardiopsaceae➤Thermobifida➤Thermobifida cellulosilytica
AB505224	404386	Nonomuraea coxensis	Nonomuraea	Streptosporangiaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptosporangiales➤Streptosporangiaceae➤Nonomuraea➤Nonomuraea coxensis
KF667495	1427536	Actinomadura sp. GKU 147	Actinomadura	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Streptosporangiales➤Thermomonosporaceae➤Actinomadura➤Actinomadura sp. GKU 147
AJ441006	195922	Antarctic bacterium R-9183	Unclassified Actinomycetia	Unclassified Actinomycetia	Unclassified Actinomycetia	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Unclassified Actinomycetia➤Unclassified Actinomycetia➤Unclassified Actinomycetia➤Antarctic bacterium R-9183
MNXI01000065	1973895	Candidatus Aquicultor secundus	Candidatus Aquicultor	Candidatus Aquicultoraceae	Candidatus Aquicultorales	Candidatus Aquicultoria	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Candidatus Aquicultoria➤Candidatus Aquicultorales➤Candidatus Aquicultoraceae➤Candidatus Aquicultor➤Candidatus Aquicultor secundus
CP001721	521095	Lancefieldella parvula	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Coriobacteriales➤Atopobiaceae➤Lancefieldella➤Lancefieldella parvula
AB540986	1383	Lancefieldella rimae	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Coriobacteriales➤Atopobiaceae➤Lancefieldella➤Lancefieldella rimae
ABXJ01000150	445975	Collinsella stercoris	Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Coriobacteriales➤Coriobacteriaceae➤Collinsella➤Collinsella stercoris
CP002628	700015	Coriobacterium glomerans	Coriobacterium	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Coriobacteriales➤Coriobacteriaceae➤Coriobacterium➤Coriobacterium glomerans
JN837493	1118060	Enorma massiliensis	Enorma	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Coriobacteriales➤Coriobacteriaceae➤Enorma➤Enorma massiliensis
DQ789120	1235794	Adlercreutzia caecimuris	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Adlercreutzia➤Adlercreutzia caecimuris
AB306661	446660	Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Adlercreutzia➤Adlercreutzia equolifaciens
AM747811	580026	Adlercreutzia mucosicola	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Adlercreutzia➤Adlercreutzia mucosicola
CP001682	469378	Cryptobacterium curtum	Cryptobacterium	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Cryptobacterium➤Cryptobacterium curtum
CP011402	79604	Denitrobacterium detoxificans	Denitrobacterium	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Denitrobacterium➤Denitrobacterium detoxificans
AF292375	479437	Eggerthella lenta	Eggerthella	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Eggerthella➤Eggerthella lenta
AP012211	502558	Eggerthella sp. YY7918	Eggerthella	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Eggerthella➤Eggerthella sp. YY7918
FP929047	657308	Gordonibacter pamelaeae	Gordonibacter	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Coriobacteriia➤Eggerthellales➤Eggerthellaceae➤Gordonibacter➤Gordonibacter pamelaeae
EF422408	1069448	Nitriliruptor alkaliphilus	Nitriliruptor	Nitriliruptoraceae	Nitriliruptorales	Nitriliruptoria	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Nitriliruptoria➤Nitriliruptorales➤Nitriliruptoraceae➤Nitriliruptor➤Nitriliruptor alkaliphilus
CP000386	266117	Rubrobacter xylanophilus	Rubrobacter	Rubrobacteraceae	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Rubrobacteria➤Rubrobacterales➤Rubrobacteraceae➤Rubrobacter➤Rubrobacter xylanophilus
CP001854	469383	Conexibacter woesei	Conexibacter	Conexibacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Thermoleophilia➤Solirubrobacterales➤Conexibacteraceae➤Conexibacter➤Conexibacter woesei
AJ458464	192994	Thermoleophilum minutum	Thermoleophilum	Thermoleophilaceae	Thermoleophilales	Thermoleophilia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Thermoleophilia➤Thermoleophilales➤Thermoleophilaceae➤Thermoleophilum➤Thermoleophilum minutum
MELT01000136	1797206	Actinobacteria bacterium RBG_19FT_COMBO_36_27	Unclassified Actinobacteria	Unclassified Actinobacteria	Unclassified Actinobacteria	Unclassified Actinobacteria	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Unclassified Actinobacteria➤Unclassified Actinobacteria➤Unclassified Actinobacteria➤Unclassified Actinobacteria➤Actinobacteria bacterium RBG_19FT_COMBO_36_27
AE000657	224324	Aquifex aeolicus	Aquifex	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	Bacteria➤Aquificae➤Aquificae➤Aquificales➤Aquificaceae➤Aquifex➤Aquifex aeolicus
CP002221	608538	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	Bacteria➤Aquificae➤Aquificae➤Aquificales➤Aquificaceae➤Hydrogenobacter➤Hydrogenobacter thermophilus
CP002809	547145	Hydrogenobaculum sp. SHO	Hydrogenobaculum	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	Bacteria➤Aquificae➤Aquificae➤Aquificales➤Aquificaceae➤Hydrogenobaculum➤Hydrogenobaculum sp. SHO
CP001931	638303	Thermocrinis albus	Thermocrinis	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	Bacteria➤Aquificae➤Aquificae➤Aquificales➤Aquificaceae➤Thermocrinis➤Thermocrinis albus
CP002543	868864	Desulfurobacterium thermolithotrophum	Desulfurobacterium	Desulfurobacteriaceae	Desulfurobacteriales	Aquificae	Aquificae	Bacteria	Bacteria➤Aquificae➤Aquificae➤Desulfurobacteriales➤Desulfurobacteriaceae➤Desulfurobacterium➤Desulfurobacterium thermolithotrophum
CP002444	648996	Thermovibrio ammonificans	Thermovibrio	Desulfurobacteriaceae	Desulfurobacteriales	Aquificae	Aquificae	Bacteria	Bacteria➤Aquificae➤Aquificae➤Desulfurobacteriales➤Desulfurobacteriaceae➤Thermovibrio➤Thermovibrio ammonificans
HF951689	1303518	Chthonomonas calidirosea	Chthonomonas	Chthonomonadaceae	Chthonomonadales	Chthonomonadetes	Armatimonadetes	Bacteria	Bacteria➤Armatimonadetes➤Chthonomonadetes➤Chthonomonadales➤Chthonomonadaceae➤Chthonomonas➤Chthonomonas calidirosea
CP007139	661478	Fimbriimonas ginsengisoli	Fimbriimonas	Fimbriimonadaceae	Fimbriimonadales	Fimbriimonadia	Armatimonadetes	Bacteria	Bacteria➤Armatimonadetes➤Fimbriimonadia➤Fimbriimonadales➤Fimbriimonadaceae➤Fimbriimonas➤Fimbriimonas ginsengisoli
MNXM01000314	1805027	Armatimonadetes bacterium CG2_30_59_28	Unclassified Armatimonadetes	Unclassified Armatimonadetes	Unclassified Armatimonadetes	Unclassified Armatimonadetes	Armatimonadetes	Bacteria	Bacteria➤Armatimonadetes➤Unclassified Armatimonadetes➤Unclassified Armatimonadetes➤Unclassified Armatimonadetes➤Unclassified Armatimonadetes➤Armatimonadetes bacterium CG2_30_59_28
MNXN01000406	1805028	Armatimonadetes bacterium CG2_30_66_41	Unclassified Armatimonadetes	Unclassified Armatimonadetes	Unclassified Armatimonadetes	Unclassified Armatimonadetes	Armatimonadetes	Bacteria	Bacteria➤Armatimonadetes➤Unclassified Armatimonadetes➤Unclassified Armatimonadetes➤Unclassified Armatimonadetes➤Unclassified Armatimonadetes➤Armatimonadetes bacterium CG2_30_66_41
APCU01000223	1262132	Candidatus Caldatribacterium saccharofermentans	Candidatus Caldatribacterium	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Atribacterota	Bacteria	Bacteria➤Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Candidatus Caldatribacterium➤Candidatus Caldatribacterium saccharofermentans
CDPL01000047	1104602	Atribacteria bacterium JGI 0000014-F07	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Atribacterota	Bacteria	Bacteria➤Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Atribacteria bacterium JGI 0000014-F07
AQRR01000038	1104604	Atribacteria bacterium JGI 0000079-F20	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Atribacterota	Bacteria	Bacteria➤Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Atribacteria bacterium JGI 0000079-F20
ASOY01000050	1104603	Atribacteria bacterium JGI 0000079-L04	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Atribacterota	Bacteria	Bacteria➤Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Atribacteria bacterium JGI 0000079-L04
AWNT01000010	1383026	Atribacteria bacterium JGI OTU-1	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Atribacterota	Bacteria	Bacteria➤Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Atribacteria bacterium JGI OTU-1
MEYG01000109	1797290	Candidatus Atribacteria bacterium RBG_16_35_8	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Unclassified Atribacterota	Atribacterota	Bacteria	Bacteria➤Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Unclassified Atribacterota➤Candidatus Atribacteria bacterium RBG_16_35_8
CR626927	272559	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Bacteroidaceae➤Bacteroides➤Bacteroides fragilis
CP007034	880074	Barnesiella viscericola	Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Barnesiellaceae➤Barnesiella➤Barnesiella viscericola
JN703378	1349822	Coprobacter fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Barnesiellaceae➤Coprobacter➤Coprobacter fastidiosus
ADLV01000001	742766	Dysgonomonas gadei	Dysgonomonas	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Dysgonomonadaceae➤Dysgonomonas➤Dysgonomonas gadei
AY742226	294710	Proteiniphilum acetatigenes	Proteiniphilum	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Dysgonomonadaceae➤Proteiniphilum➤Proteiniphilum acetatigenes
AB443949	544645	Butyricimonas virosa	Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Odoribacteraceae➤Butyricimonas➤Butyricimonas virosa
